	TITLE	CATEGORY
0	RPT-Fitch Updates EMEA Consumer ABS Rating Criteria & Auto Residual Value  ...	b
1	Gurlitt Wants to Return Nazi-Looted Art, Sueddeutsche Reports	e
2	UPDATE 1-Fairfax Financial, CEO probed over possible insider trading	b
3	Angelina Jolie - Angelina Jolie Will Not Tighten Security After Brad Pitt Prank	e
4	Patent Officials Cancel the Washington Redskins' 'Disparaging' Trademarks	b
5	The End Is Nigh: Monty Python Reunite For Final Round Of Gigs At The O2	e
6	Peaches Geldof - Peaches Geldof's Funeral Planned For Easter Monday	e
7	CORRECTED-Wells Fargo profit rises 14 pct as costs fall	b
8	US Bonds Gain for 5th Month Amid ECB Stimulus Bets	b
9	US Stocks Rise With Dollar, Treasuries Slide on Prices	b
10	"UPDATE 1-""Transformers"" crushes ""Tammy"", ""Evil"" to lead weekend box office"	e
11	CORRECTED-Alibaba, ShopRunner plan to launch joint China service	t
12	Johnny Depp - Johnny Depp hopeless with technology	e
13	Argentina Debt Dilemma Spotlights Knotted World of Default Swaps	b
14	April Fools' Day: A guide to the best and worst pranks on the Internet this year  ...	t
15	US STOCKS-Dow hits record; Internet names advance	b
16	Oscar Pistorius - Oscar Pistorius fit for trial	m
17	Macquarie to Buy Rest of International-Matex for $1 Billion	b
18	Flight 17 Crash Casts Shadow Over Melbourne AIDS Meeting	m
19	DirecTV to US lawmakers on AT&T deal: broadband 'changing everything'	b
20	UPDATE 1-US official warns of lawsuit as BofA mortgage talks stall	b
21	PRECIOUS-Gold up at 6-month high as Ukraine, China prompt safe-haven bids	b
22	Twitter Co-Founders, CEO and Top Investor Plan to Hold Stock (2)	b
23	Justin Bieber - Justin Bieber compares himself to Princess Diana	e
24	Google signs up Oakley and Rayban for Glass wearables	t
25	US Stocks Fall as JPMorgan Earnings Overshadow Economy	b
26	CANADA STOCKS-TSX advances as Fed hopes drive broad gains	b
27	Taiwan's HTC Q2 profit T$2.26 bln, slightly above estimates	b
28	Freddie Mac to pay US Treasury $4.5 billion on quarterly profit	b
29	5 Ways James Brown Made An Impact On American Culture	e
30	Some banks may walk away from government debt primary market -BNP	b
31	'It was a fantastic seven years!' Chelsea Handler reveals her late night chatshow  ...	e
32	Children's Brands In Fight To Keep Names Off E-Cigarettes	m
33	AT&T Plans to Expand Fast Web Service in Race Against Google (1)	t
34	FOREX-Euro edges up ahead of inflation test, sterling supported	b
35	Sean Combs - Sean Combs Reverts Back To Puff Daddy For New Album	e
36	Kanye West Talks Tech, Culture and Annie Lebowitz At Lions Tech Conference	e
37	Citigroup, Everbright, Rajaratnam, Libya: Compliance	b
38	Mila Kunis - Mila Kunis and Ashton Kutcher wanted kids for 'nearly a year'	e
39	Oculus Buys Startup RakNet Ahead of Facebook Deal Close	t
40	Kanye West Greeted With Boos At London's Wireless Festival	e
41	Alibaba Files for an IPO: Why You Should Care	b
42	Son Of Snake Handler Killed By Snake Gets Bitten Too	e
43	Coca-Cola to drop controversial flame retardant chemical ingredient after teen  ...	b
44	Family Dollar to Close 370 Stores, Cut Jobs Amid Review (2)	b
45	EU-US Data, Europe ABS Rules, SEC-CFTC Merger: Compliance	b
46	Kim Kardashian arrives at LAX amid rumours she and Kanye are to wed this week	e
47	'True Detective' Creator Spills Major Season 2 Secrets	e
48	REFILE-GM recalls 511528 Chevy Camaros because key bump can cause  ...	t
49	Why Amazon Pays Some Workers Up To $5000 To Quit	b
50	Euro zone economy still at risk, interest rates to stay low: Draghi	b
51	Three-parent babies 'could be reality within 2 years' as IVF techniques 'not unsafe'	m
52	BOJ's Kuroda sees no need to ease but won't hesitate if needed	b
